2017-05-11 17:11:11,655 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-11 17:12:27,976 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-05-11 17:17:10,693 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-05-11 17:19:07,933 [Worker-37] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\workspace_server_javaweb02\javaWeb\MyBatisGenerator
2017-05-11 17:19:07,933 [Worker-37] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -Dmybatis-generator=generate  -B 
2017-05-11 17:19:33,467 [Worker-42] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-classworlds/2.5.1/plexus-classworlds-2.5.1-sources.jar
2017-05-11 17:19:35,363 [Worker-42] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/codehaus/plexus/plexus-classworlds/2.5.1/plexus-classworlds-2.5.1-sources.jar
2017-05-11 17:19:36,049 [Worker-42] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/io/takari/aether/takari-local-repository/0.9.0/takari-local-repository-0.9.0-sources.jar
2017-05-11 17:19:36,835 [Worker-42] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/io/takari/aether/takari-local-repository/0.9.0/takari-local-repository-0.9.0-sources.jar
2017-05-11 17:19:37,512 [Worker-42] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/io/takari/takari-filemanager/0.7.0/takari-filemanager-0.7.0-sources.jar
2017-05-11 17:19:38,315 [Worker-42] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/io/takari/takari-filemanager/0.7.0/takari-filemanager-0.7.0-sources.jar
2017-05-11 17:19:38,881 [Worker-42] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/apache/maven/maven-core/3.2.1/maven-core-3.2.1-sources.jar
